idorder,order_id,Total_paid
6210844,701-1812574-3137051,5.76
6457981,89397440784370,4.0
6934779,306-0301148-3650738,5.99
7081278,402-2468575-9780310,2.99
7489806,250-8430495-2484629,16.53
7496605,249-4325868-9003059,50.63
7555336,250-5130973-7979810,38.58
7663052,250-7550727-9151865,21.43
7670896,250-2835336-0084627,25.29
7686120,250-3534006-3564611,23.11
7832336,250-2839883-9441409,9.15
7833673,203-9161037-1350745,103.56
7860701,249-7095856-0947858,58.14
7867743,305-5027985-3194758,11.99
7891747,306-3971584-0775550,13.49
8130150,204223703768682,138.0
8208382,249-0476529-7566246,16.55
8212037,250-7928290-2351013,57.63
8392633,701-6352016-1329861,18.28
8425095,503-9971381-1808653,23.52
8475375,503-0119576-4179815,21.52
8678434,250-1008121-3554247,27.9
8691839,506278633802970,18.54
8713624,COD-201806291619541485135321,0.0
9041745,COD-201807241057571660626142,1780.0
9046590,COD-201807241757451894669175,1780.0
9053175,COD-201807200727032126159388,1780.0
9053177,COD-201807200405321337628568,1780.0
9053178,COD-201807141732261268936200,1500.0
9053196,COD-20180721024644945098748,1780.0
9094193,COD-20180727144027665265149,1780.0
9172721,COD-201808010449242005284171,290.0
9296754,COD-201808080128121403689529,780.0
9325587,COD-201808091335341796686284,780.0
9410888,6778955249699,7.2
9736828,COD-20180830202754120162550,480.0
9828115,94239555756197,7.19
9907437,250-4810861-1268654,50.54
9980861,Lu218694887690055,246000.0
9999882,#1142,49.99
10030409,#1151,49.99
10044846,#1160,49.99
10046341,#1161,49.99
10058684,#1164,99.98
10061917,#1152,164.97
10110868,#1196,59.99
10124734,026-2954862-8635521,141.5
10124735,204-7983569-1662750,141.5
10125440,#1171,49.99
10125453,#1170,69.99
10234943,111-2137823-5841863,4.3
10252807,702632641978308,9.58
10263758,702652039391754,10.9
10268469,111-6722021-2805825,5.19
10268806,702638560572383,8.77
10276680,94689604077010,10.77
10287076,94706001806388,116.1
10295249,702654540025383,7.17
10301227,702656742895050,8.09
10303183,94717408947595,11.12
10304645,#1243,64.99
10304868,503-1075834-0236651,22.42
10311764,702661340363810,3.58
10311769,702648612182268,3.83
10311981,702666912901380,4.03
10312922,702650135339701,3.58
10315235,94772253112211,4.29
10322479,702651931090058,13.02
10322480,702667837611420,9.34
10324306,702668873897172,3.58
10326010,702653338252678,3.58
10327912,702654535695478,3.58
10327915,702654443294598,3.58
10328861,702665023791186,5.89
10328862,702671071296548,9.34
10329461,702655923699199,8.09
10329467,702655327648434,11.12
10329526,702665745466483,3.58
10330049,702656041747265,15.09
10339461,702658371875889,3.58
10340418,702658531529624,11.0
10346588,94905986295786,7.16
10346606,702676075208179,4.49
10347521,94804816828844,9.36
10351124,702661930490956,4.03
10352593,702678955429508,3.68
10352596,702662605510862,3.68
10353095,702678873733333,7.16
10358205,702679919377047,8.09
10358356,702664766244254,3.58
10358360,702680713296278,3.58
10358371,702679518376202,3.58
10358538,95035592190621,4.4
10362680,702659612199002,4.62
10368762,702683118113732,4.29
10371168,702680501681614,11.05
10374709,702682544555591,4.29
10379287,702689352644765,8.09
10379449,702672765500724,3.58
10379661,702671769425541,4.29
